# Basis 2024 - N1332 (Up to date)
# 1270 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (50.2 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.32,-3.914e-4,0.079,0.643
1.33,-3.907e-4,0.078,0.643
1.34,-3.9e-4,0.078,0.643
1.35,-3.893e-4,0.078,0.643
1.36,-3.886e-4,0.078,0.643
1.37,-3.878e-4,0.078,0.643
1.38,-3.871e-4,0.078,0.643
1.39,-3.864e-4,0.078,0.643
1.4,-3.857e-4,0.077,0.643
1.41,-3.849e-4,0.077,0.643
1.42,-3.842e-4,0.077,0.643
1.43,-3.828e-4,0.077,0.643
1.44,-3.596e-4,0.072,0.643
1.45,-3.257e-4,0.065,0.643
1.46,-2.918e-4,0.059,0.643
1.47,-2.58e-4,0.052,0.643
1.48,-2.241e-4,0.045,0.643
1.49,-1.887e-4,0.038,0.643
1.5,-1.292e-4,0.026,0.643
1.51,-6.151e-5,0.012,0.643
1.52,6.248e-6,0.001,0.643
1.53,9.281e-5,0.016,0.643
1.54,3.953e-4,0.045,0.642
1.55,0.001,0.087,0.642
1.56,0.002,0.142,0.642
1.57,0.004,0.212,0.641
1.58,0.007,0.325,0.64
1.59,0.011,0.549,0.636
1.6,0.018,0.79,0.631
# Event LIFTOFF occurred at t=1.61 seconds
1.61,0.027,1.031,0.625
1.62,0.038,1.285,0.619
1.63,0.052,1.55,0.612
1.64,0.069,1.82,0.605
1.65,0.089,2.126,0.597
1.66,0.112,2.436,0.589
1.67,0.137,2.744,0.582
1.68,0.166,3.051,0.575
1.69,0.198,3.357,0.569
1.7,0.233,3.661,0.563
1.71,0.271,3.963,0.558
1.72,0.312,4.264,0.553
1.73,0.356,4.563,0.548
1.74,0.403,4.861,0.543
1.75,0.453,5.158,0.539
1.76,0.506,5.453,0.535
1.77,0.562,5.751,0.531
1.78,0.62,6.05,0.528
1.79,0.682,6.35,0.524
1.8,0.747,6.651,0.521
1.81,0.815,6.951,0.518
1.82,0.885,7.25,0.515
1.83,0.959,7.55,0.512
1.84,1.036,7.848,0.509
1.85,1.115,8.143,0.507
1.86,1.198,8.433,0.504
1.87,1.283,8.723,0.502
1.88,1.372,9.012,0.5
1.89,1.463,9.301,0.497
1.9,1.557,9.59,0.495
1.91,1.654,9.878,0.493
1.92,1.754,10.166,0.491
1.93,1.857,10.453,0.49
1.94,1.962,10.741,0.488
1.95,2.071,11.028,0.486
1.96,2.182,11.314,0.484
1.97,2.296,11.6,0.483
1.98,2.413,11.886,0.481
1.99,2.533,12.172,0.48
2,2.655,12.457,0.478
2.01,2.781,12.742,0.478
2.02,2.909,13.027,0.478
2.03,3.04,13.311,0.478
2.04,3.174,13.595,0.478
2.05,3.311,13.878,0.478
2.06,3.451,14.161,0.478
2.07,3.593,14.444,0.478
2.08,3.739,14.726,0.478
2.09,3.887,15.009,0.478
2.1,4.038,15.29,0.478
2.11,4.192,15.572,0.478
2.12,4.348,15.853,0.478
2.13,4.507,16.133,0.478
2.14,4.669,16.414,0.478
2.15,4.834,16.694,0.478
2.16,5.002,16.974,0.478
2.17,5.173,17.253,0.478
2.18,5.346,17.533,0.478
2.19,5.522,17.816,0.479
2.2,5.701,18.1,0.479
2.21,5.883,18.384,0.479
2.22,6.067,18.667,0.479
2.23,6.254,18.947,0.479
2.24,6.445,19.225,0.479
2.25,6.637,19.503,0.479
2.26,6.833,19.786,0.479
2.27,7.032,20.064,0.479
2.28,7.233,20.34,0.479
2.29,7.437,20.616,0.479
2.3,7.644,20.893,0.479
2.31,7.853,21.17,0.479
2.32,8.065,21.447,0.479
2.33,8.28,21.724,0.479
2.34,8.498,22.002,0.479
2.35,8.719,22.279,0.479
2.36,8.942,22.557,0.479
2.37,9.168,22.835,0.479
2.38,9.397,23.113,0.479
2.39,9.629,23.392,0.479
2.4,9.863,23.67,0.479
2.41,10.1,23.949,0.479
2.42,10.34,24.228,0.479
2.43,10.583,24.508,0.479
2.44,10.829,24.787,0.479
2.45,11.077,25.067,0.479
2.46,11.328,25.347,0.479
2.47,11.582,25.627,0.479
2.48,11.839,25.907,0.479
# Event LAUNCHROD occurred at t=2.49 seconds
2.49,12.098,26.188,0.479
2.505,12.493,26.609,0.479
2.527,13.096,27.242,0.479
2.561,14.028,28.193,0.479
2.611,15.467,29.589,0.479
2.661,16.974,30.962,0.479
2.711,18.55,32.331,0.479
2.761,20.194,33.697,0.479
2.811,21.905,35.059,0.479
2.861,23.684,36.418,0.479
2.911,25.531,37.774,0.48
2.961,27.444,39.126,0.48
3.011,29.425,40.475,0.48
3.061,31.472,41.82,0.48
3.111,33.586,43.161,0.48
3.161,35.766,44.499,0.48
3.211,38.012,45.834,0.48
3.261,40.324,47.164,0.48
3.311,42.701,48.491,0.48
3.361,45.144,49.814,0.481
3.411,47.652,51.133,0.481
3.461,50.224,52.447,0.481
3.511,52.861,53.758,0.481
3.561,55.562,55.065,0.481
3.611,58.326,56.367,0.481
3.661,61.155,57.666,0.481
3.711,64.046,58.96,0.482
3.761,67,60.25,0.482
3.811,70.017,61.536,0.482
3.861,73.096,62.818,0.482
3.911,76.237,64.097,0.482
3.961,79.44,65.372,0.482
4.011,82.705,66.643,0.483
4.061,86.031,67.91,0.483
4.111,89.418,69.174,0.483
4.161,92.867,70.435,0.483
4.211,96.376,71.692,0.483
4.261,99.946,72.945,0.483
4.311,103.577,74.195,0.484
4.361,107.268,75.441,0.484
4.411,111.019,76.683,0.484
4.461,114.831,77.921,0.484
4.511,118.703,79.155,0.484
4.561,122.635,80.384,0.485
4.611,126.627,81.608,0.485
4.661,130.678,82.828,0.485
4.711,134.789,84.043,0.485
4.761,138.958,85.253,0.485
4.811,143.187,86.459,0.486
4.861,147.474,87.662,0.486
4.911,151.819,88.862,0.486
4.961,156.223,90.058,0.486
5.011,160.684,91.252,0.486
5.061,165.203,92.442,0.487
5.111,169.78,93.629,0.487
5.161,174.413,94.812,0.487
5.211,179.104,95.992,0.487
5.261,183.85,97.168,0.488
5.311,188.653,98.341,0.488
5.361,193.512,99.511,0.488
5.411,198.427,100.678,0.488
5.461,203.397,101.842,0.489
5.511,208.423,103.003,0.489
5.561,213.505,104.161,0.489
5.611,218.642,105.316,0.489
5.661,223.834,106.467,0.49
5.711,229.081,107.616,0.49
5.761,234.384,108.761,0.49
5.811,239.742,109.903,0.49
5.861,245.154,111.041,0.491
5.911,250.621,112.176,0.491
5.961,256.143,113.308,0.491
6.011,261.72,114.436,0.491
6.061,267.35,115.56,0.492
6.111,273.034,116.681,0.492
6.161,278.772,117.798,0.492
6.211,284.563,118.911,0.492
6.261,290.407,120.021,0.493
6.311,296.304,121.127,0.493
6.361,302.252,122.229,0.493
6.411,308.253,123.328,0.494
6.461,314.306,124.423,0.494
6.511,320.411,125.515,0.494
6.561,326.568,126.603,0.494
6.611,332.776,127.688,0.495
6.661,339.035,128.769,0.495
6.711,345.346,129.846,0.495
6.761,351.708,130.92,0.496
6.811,358.121,131.99,0.496
6.861,364.586,133.057,0.496
6.911,371.101,134.119,0.497
6.961,377.667,135.178,0.497
7.011,384.282,136.233,0.497
7.061,390.948,137.284,0.498
7.111,397.664,138.331,0.498
7.161,404.428,139.373,0.498
7.211,411.242,140.412,0.499
7.261,418.105,141.447,0.499
7.311,425.016,142.479,0.499
7.361,431.975,143.506,0.499
7.411,438.982,144.53,0.5
7.461,446.038,145.55,0.5
7.511,453.142,146.566,0.5
7.561,460.293,147.578,0.501
7.611,467.493,148.586,0.501
7.661,474.74,149.59,0.502
7.711,482.034,150.59,0.502
7.761,489.376,151.587,0.502
7.811,496.764,152.579,0.503
7.861,504.199,153.566,0.503
7.911,511.68,154.55,0.503
7.961,519.207,155.53,0.504
8.011,526.78,156.505,0.504
8.061,534.398,157.477,0.504
8.111,542.061,158.444,0.505
8.161,549.769,159.407,0.505
8.211,557.523,160.367,0.505
8.261,565.321,161.322,0.506
8.311,573.163,162.274,0.506
8.361,581.05,163.221,0.506
8.411,588.982,164.164,0.507
8.461,596.958,165.103,0.507
8.511,604.977,166.037,0.508
8.561,613.04,166.967,0.508
8.611,621.146,167.893,0.508
8.661,629.295,168.815,0.509
8.711,637.486,169.733,0.509
8.761,645.72,170.646,0.509
8.811,653.996,171.555,0.51
8.861,662.314,172.46,0.51
8.911,670.674,173.361,0.511
8.961,679.076,174.258,0.511
9.011,687.519,175.15,0.511
9.061,696.004,176.039,0.512
9.111,704.53,176.923,0.512
9.161,713.097,177.802,0.513
9.211,721.704,178.677,0.513
9.261,730.352,179.548,0.513
9.311,739.039,180.415,0.514
9.361,747.767,181.277,0.514
9.411,756.534,182.135,0.515
9.461,765.34,182.989,0.515
9.511,774.185,183.838,0.515
9.561,783.069,184.683,0.516
9.611,791.992,185.524,0.516
